pair,pvalue,cointegrated
"('ALB', 'AZO')",0.0005091764997698063,True
"('MAR', 'CTSH')",0.0005092604569989853,True
"('CHRW', 'PFE')",0.000509832942648811,True
"('EMR', 'CMCSA')",0.0005129345452899697,True
"('COST', 'MU')",0.0005130835748845219,True
"('IRM', 'INTU')",0.0005182959733805335,True
"('CFG', 'DOW')",0.000521781754130229,True
"('V', 'IRM')",0.0005228419394382873,True
"('DECK', 'AOS')",0.0005244882924576584,True
"('SPG', 'HIG')",0.0005245296159687706,True
"('DELL', 'WYNN')",0.0005266292234549267,True
"('CMG', 'BSX')",0.0005278943633044323,True
"('MTD', 'AEP')",0.0005307755414858671,True
"('LVS', 'FANG')",0.0005316436511989756,True
"('AMAT', 'AVGO')",0.0005337911629655181,True
"('CAT', 'DD')",0.0005369788305372516,True
"('PSKY', 'EQT')",0.0005400412421454483,True
"('HUM', 'NCLH')",0.0005433891716379891,True
"('CHTR', 'HAL')",0.0005454907230706279,True
"('MAR', 'MA')",0.0005469258740831648,True
"('WBD', 'BRO')",0.0005469761134426943,True
"('IRM', 'ACN')",0.0005500882310483058,True
"('APTV', 'FOXA')",0.000550143800066042,True
"('FAST', 'AOS')",0.0005592224352646257,True
"('JKHY', 'DOW')",0.0005595780741163956,True
"('DOW', 'IEX')",0.0005608515283728225,True
"('AMZN', 'WELL')",0.0005617930019590566,True
"('SPGI', 'SWK')",0.0005639754049111734,True
"('TTD', 'DIS')",0.0005647603149679046,True
"('ACN', 'LRCX')",0.0005655040528508017,True
"('HRL', 'FOXA')",0.0005659250883741004,True
"('AMCR', 'FE')",0.0005667937437825205,True
"('NWS', 'WDC')",0.0005670425594633406,True
"('MSFT', 'GE')",0.0005672063597871761,True
"('BNY', 'STLD')",0.0005706606305184116,True
"('COST', 'PCAR')",0.0005746578120740408,True
"('LVS', 'SJM')",0.00057652562954459,True
"('AMCR', 'AES')",0.0005844722488180973,True
"('PSKY', 'FE')",0.0005851839596076057,True
"('TDG', 'FAST')",0.0005874084406702021,True
"('WBD', 'MRSH')",0.0005879628048193503,True
"('ZBRA', 'ES')",0.0005883487031507313,True
"('SHW', 'CTSH')",0.0005941045725715864,True
"('NOW', 'MU')",0.0005948227898115976,True
"('KDP', 'DOW')",0.0005962104605471493,True
"('ULTA', 'AEP')",0.0005975306058261485,True
"('DE', 'CMI')",0.0006105091873616826,True
"('IR', 'AMAT')",0.0006108838910162434,True
"('MCO', 'DDOG')",0.0006112522714356133,True
"('CTVA', 'GE')",0.0006145960824810856,True
"('SJM', 'CHRW')",0.0006171727123395485,True
"('DIS', 'EQT')",0.0006200075585435271,True
"('VRTX', 'SNPS')",0.000620500302119526,True
"('NVR', 'BSX')",0.0006209044467609415,True
"('A', 'DOW')",0.000621182640626075,True
"('NTRS', 'DOW')",0.0006266653190131193,True
"('HSY', 'WYNN')",0.0006274034664609005,True
"('SYY', 'PPL')",0.0006293626778280273,True
"('ACGL', 'HSIC')",0.0006342298694386253,True
"('CTVA', 'ANET')",0.0006356390467024768,True
"('UNP', 'WAB')",0.0006421064908542458,True
"('BAC', 'FRT')",0.0006452883623719333,True
"('KLAC', 'WYNN')",0.00064583880836414,True
"('WBD', 'HSIC')",0.0006479699530268151,True
"('CSGP', 'EXPD')",0.0006479893318677165,True
"('MCD', 'ROL')",0.0006495139986677935,True
"('ACN', 'NTAP')",0.0006513830310033242,True
"('FCX', 'FRT')",0.0006555828080591688,True
"('MLM', 'TTWO')",0.0006566563876808611,True
"('LIN', 'PFE')",0.0006569586380243861,True
"('FTNT', 'PNW')",0.0006582836517464359,True
"('TT', 'HLT')",0.0006671442526742215,True
"('MCHP', 'HUM')",0.0006750463601537126,True
"('UNH', 'PKG')",0.0006837842839462465,True
"('UAL', 'TROW')",0.0006855675819737078,True
"('CHTR', 'J')",0.0006908688596992306,True
"('CSCO', 'ETR')",0.0006911040539225738,True
"('PODD', 'CMS')",0.000692368080754916,True
"('CTAS', 'DASH')",0.0006936179778228032,True
"('GEN', 'REG')",0.0007018471733537912,True
"('SHW', 'RCL')",0.0007069224373758234,True
"('CASY', 'WYNN')",0.0007119039131813625,True
"('HST', 'HON')",0.0007131544775963247,True
"('IRM', 'BKNG')",0.0007185844698025654,True
"('VTR', 'TRV')",0.0007252122569932868,True
"('REG', 'AMP')",0.0007269866462575188,True
"('UNP', 'MAR')",0.00072763493761152,True
"('D', 'PYPL')",0.0007301259857710189,True
"('SYY', 'ETR')",0.0007332043528345265,True
"('CHTR', 'COP')",0.0007358447079006124,True
"('TROW', 'JNJ')",0.0007376073734111847,True
"('EQT', 'TGT')",0.0007379293840257394,True
"('TROW', 'BAX')",0.0007400712516473585,True
"('CVS', 'TFC')",0.0007409808714569724,True
"('NDSN', 'WY')",0.0007426425641883844,True
"('BBY', 'MS')",0.0007426685015746612,True
"('TDG', 'DECK')",0.0007435677933679802,True
"('USB', 'DOW')",0.000744841970731846,True
"('FFIV', 'CTSH')",0.0007470152573927609,True
"('RTX', 'FE')",0.0007473011170262826,True
"('FCX', 'CVS')",0.0007496276436197208,True
"('ROP', 'WYNN')",0.0007515486851533874,True
"('WBD', 'TSN')",0.0007570612607772019,True
"('DE', 'TRMB')",0.0007612369899736366,True
"('AME', 'RCL')",0.0007633399472990414,True
"('CHTR', 'OMC')",0.000763972363995793,True
"('D', 'AMCR')",0.0007670243087217341,True
"('AMT', 'VZ')",0.0007709994860207357,True
"('TRGP', 'WYNN')",0.0007828394449891745,True
"('FICO', 'WYNN')",0.0007844484018612104,True
"('HON', 'BALL')",0.0007851861960660657,True
"('WEC', 'WYNN')",0.0007856805449885159,True
"('ZBRA', 'TXN')",0.0007868082685461257,True
"('PFE', 'UNH')",0.0007888156666075262,True
"('DASH', 'NTAP')",0.0007905779119022181,True
"('CMI', 'PM')",0.0007948672088303221,True
"('CTAS', 'PFE')",0.000796923879067556,True
"('TKO', 'MKC')",0.0008014161690018406,True
"('WBD', 'NVDA')",0.0008030567418629036,True
"('LOW', 'JNJ')",0.0008031774168027153,True
"('CBRE', 'NUE')",0.0008152943369510601,True
"('SJM', 'UNH')",0.0008225086684068115,True
"('TPR', 'PSA')",0.0008234051290257542,True
"('BG', 'ADP')",0.0008247072360258674,True
"('KHC', 'ETR')",0.0008249323435038111,True
"('NEE', 'HSIC')",0.0008253356964983851,True
"('RTX', 'WYNN')",0.0008267182681647374,True
"('COIN', 'HLT')",0.0008279458277686263,True
"('WBD', 'GPC')",0.000828581485749851,True
"('SBAC', 'DGX')",0.0008292638962920994,True
"('NRG', 'MU')",0.0008407281273331834,True
"('SNA', 'DDOG')",0.0008455926426669614,True
"('DTE', 'BALL')",0.0008496225045944722,True
"('REG', 'KMI')",0.0008503131546331664,True
"('WBD', 'AEP')",0.0008632352934499896,True
"('WBD', 'APP')",0.0008635136406753858,True
"('KDP', 'WBD')",0.0008645395481983665,True
"('NRG', 'WYNN')",0.0008660775293741923,True
